table_name,name,type,description,constraints_unique,constraints_required,constraints_tablular_required,format,one_to_many,one_to_one,enum
accessibility,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
taxonomy_term,id,string,"The identifier for this taxonomy term. Each taxonomy term must have a unique identifier, within the scope of the dataset.",true,true,false,uuid,,,
taxonomy_term,code,string,The term identfier as used in the taxonomy. This and the taxonomy_id combined define the term.,true,false,false,,,,
taxonomy_term,name,string,The taxonomy term itself.,false,true,false,,,,
taxonomy_term,description,string,A free text description of the term.,false,true,false,,,,
taxonomy_term,parent_id,string,"If this is a child term in a hierarchical taxonomy, give the identifier of the parent category. For top-level categories, this is not required.",false,false,false,uuid,,,
taxonomy_term,taxonomy,string,"If this is an established taxonomy, a free text description of which taxonomy is in use. If possible, provide a URI.",false,false,false,,,,
taxonomy_term,taxonomy,,Taxonomies from which taxonomy terms are taken,,false,false,,,taxonomy.json,
taxonomy_term,language,string,"An ISO 639-1, ISO 639-2, or ISO 639-3 [language code](http://www.loc.gov/standards/iso639-2/php/code_list.php) to represent the language of the term. The three-letter codes from ISO 639-2 and ISO 639-3 provide greater accuracy when describing variants of languages, which may be relevant to particular communities.",false,false,false,,,,
taxonomy_term,taxonomy_id,string,The identifier of the taxonomy containing the term.,false,false,false,uuid,,,
taxonomy_term,term_uri,string,URI of the term.,false,false,false,uri,,,
taxonomy_term,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
metadata,id,string,The identifier for this metadata. Each entry must have a unique identifier.,true,true,false,uuid,,,
metadata,resource_id,string,"The identifier of the resource (service, program, location, address, or contact) that this metadata describes.",false,false,true,uuid,,,
metadata,resource_type,string,The type of entity being referenced.,false,false,true,,,,
metadata,last_action_date,string,The date when data was changed.,false,true,false,,,,
metadata,last_action_type,string,The kind of change made to the data.,false,true,false,,,,
metadata,field_name,string,The name of field that has been modified.,false,true,false,,,,
metadata,previous_value,string,The previous value of the field that has been modified.,false,true,false,,,,
metadata,replacement_value,string,The new value of the field that has been modified.,false,true,false,,,,
metadata,updated_by,string,The name of the person who modified the field.,false,true,false,,,,
meta_table_description,id,string,The identifier for the metadata description. Each entry must have a unique identifier.,true,true,false,uuid,,,
meta_table_description,name,string,The name for the metadata description.,false,false,false,,,,
meta_table_description,language,string,The ISO 639-1 or ISO 639-3 code for the language of the metadata description.,false,false,false,,,,
meta_table_description,character_set,string,The character set of the metadata description.,false,false,false,,,,
meta_table_description,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
meta_table_description,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
cost_option,id,string,The identifier for the cost option. Each entry must have a unique identifier,true,true,false,uuid,,,
cost_option,service_id,string,The identifier of the services for which the entry describes the cost.,false,false,true,uuid,,,
cost_option,valid_from,string,The date when this price is valid from.,false,false,false,,,,
cost_option,valid_to,string,The date when this price is valid to.,false,false,false,,,,
cost_option,option,string,Conditions associated with the cost option.,false,false,false,,,,
cost_option,currency,string,The 3 letter currency code of this cost option (expected to be gbp by Open Referral UK).,false,false,false,,,,
cost_option,amount,number,"The cost of the option, expressed as an amount.",false,false,false,,,,
cost_option,amount_description,string,Specific details qualifying the cost amount.,false,false,false,,,,
cost_option,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
cost_option,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
organization_identifier,id,string,The identifier for this organization identifier entry. Each entry must have a unique identifier.,true,true,false,uuid,,,
organization_identifier,organization_id,string,The identifier of the organization. This should match the uuid of an organization object.,false,false,true,uuid,,,
organization_identifier,identifier_scheme,string,"The scheme of the third party identifier, according to http://org-id.guide/.",false,false,false,,,,
organization_identifier,identifier_type,string,A human-readable equivalent of the identifier_scheme. This may be used in cases where org-id.guide does not list an appropriate identifier scheme.,false,true,false,,,,
organization_identifier,identifier,string,The third-party identifier value.,false,true,false,,,,
organization_identifier,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
organization_identifier,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
taxonomy,id,string,The identifier of the taxonomy. Each entry must have a unique identifier,true,true,false,uuid,,,
taxonomy,name,string,The name of the taxonomy from which terms are sourced.,false,true,false,,,,
taxonomy,description,string,A free text description of the taxonomy.,false,true,false,,,,
taxonomy,uri,string,The URI of the taxonomy.,false,false,false,uri,,,
taxonomy,version,string,The version of the taxonomy.,false,false,false,,,,
taxonomy,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
service_capacity,id,string,The identifier for the service_capacity object. Each service_capacity must have a unique identifier.,true,true,false,uuid,,,
service_capacity,service_id,string,The identifier for the Service object associated with this service capacity object. Only required in the tabular representation.,false,false,true,uuid,,,
service_capacity,,,,,true,false,,,unit.json,
service_capacity,unit_id,string,The identifier for the unit object.,false,false,true,uuid,,,
service_capacity,available,number,The number of units available as of the last update.,false,true,false,,,,
service_capacity,maximum,number,"The maximum number of units that can be available for this service, if applicable",false,false,false,,,,
service_capacity,description,string,A Human-Friendly description of this service capacity e.g. “Beds available for people experiencing homelessness”,false,false,false,,,,
service_capacity,updated,string,The datetime when this service_capacit y object was last updated or changed. Should have millisecond accuracy. ,false,true,false,date-time,,,
service_capacity,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
service_capacity,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
unit,id,string,The identifier for the unit object. Each unit must have a unique identifier.,true,true,false,uuid,,,
unit,name,string,The human-readable name for this unit e.g. “Bed” or “Hours”,false,true,false,,,,
unit,scheme,string,"The scheme which formalizes the unit, if applicable e.g. “SI” for Standard International Units such as Kilogram, Litre, etc.",false,false,false,,,,
unit,identifier,string,The identifier of the unit taken from the scheme if applicable e.g. `kgm` for Kilogram.,false,false,false,,,,
unit,uri,string,"The URI to the definition of the unit, if applicable",false,false,false,uri,,,
unit,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
unit,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
url,id,string,The identifier for the URL object. Each URL must have a unique identifier.,true,true,false,uuid,,,
url,label,string,The human-readable label for this url e.g. “Twitter” or “Website”.,false,false,false,,,,
url,url,string,The URL for this URL object. This must be formatted as a valid URI.,false,true,false,uri,,,
url,organization_id,string,The identifier for the organization associated with this URL object,false,false,false,uuid,,,
url,service_id,string,The identifier for the service associated with this URL object,false,false,false,uuid,,,
url,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
url,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,

